Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,25961,15358,14330,13487,12948,12352,12076,11921,11187,13484
Africa,5907,4024,3842,2673,2035,2501,2640,2813,2633,3055
Asia,11775,5223,3036,3862,3328,4419,4840,5542,5401,6499
Europe,1433,1060,860,675,548,675,751,811,729,964
North America,1397,1509,2207,2910,3595,2238,1750,1483,1436,1568
Oceania,178,60,64,23,18,27,23,17,8,19
South America,5163,3422,4264,3308,3383,2439,1979,1126,928,1332
Unknown,108,60,57,36,41,53,93,129,52,47
Afghanistan,183,29,35,14,9,43,45,81,113,120
Albania,379,251,178,92,43,33,31,33,26,16
Algeria,22,15,10,6,5,3,8,5,9,8
Angola,28,19,6,5,3,5,4,3,D,15
Armenia,976,464,250,161,155,202,105,85,85,47
Azerbaijan,255,75,89,34,28,16,10,23,21,19
Bangladesh,103,64,41,37,36,29,32,46,35,30
Belarus,73,106,145,113,100,86,78,113,65,115
Bhutan,9,6,D,D,8,13,4,8,-,D
Bolivia,D,12,5,3,D,3,8,10,15,19
Bosnia-Herzegovina,31,10,13,25,17,13,9,5,7,5
Brazil,35,28,24,28,36,43,38,51,46,39
Bulgaria,67,49,43,43,34,37,48,25,17,13
Burkina Faso,3,7,7,9,13,31,17,21,41,56
Burma,324,191,189,98,93,124,152,168,159,145
Burundi,62,26,25,17,29,25,28,21,21,21
Cambodia,42,27,42,23,13,11,5,3,8,-
Cameroon,709,813,599,386,225,296,282,219,182,225
Central African Republic,23,22,7,17,5,6,12,15,13,5
Chad,13,24,20,13,19,31,35,38,18,8
"China, People's Republic",5785,2407,929,2233,1551,1826,2037,2710,2882,3901
Colombia,4939,2968,2899,2214,2178,1490,1113,637,358,325
"Congo, Democratic Republic",200,76,69,53,46,35,38,31,30,50
"Congo, Republic",257,119,93,57,51,72,53,42,61,86
Cote d'Ivoire,24,126,86,94,73,49,43,38,36,110
Cuba,53,35,26,71,50,43,64,27,24,20
Djibouti,D,-,-,-,-,D,D,7,16,46
Ecuador,29,D,9,7,10,14,11,8,9,5
Egypt,490,242,143,142,176,194,234,308,315,754
El Salvador,76,91,120,183,498,417,314,202,157,103
Eritrea,167,124,132,142,112,152,181,233,179,159
Estonia,16,11,10,10,-,3,D,5,-,-
Ethiopia,1052,574,756,465,440,507,586,701,679,571
Fiji,176,60,64,23,18,27,23,16,8,18
Gambia,21,29,31,28,37,43,50,49,53,67
Georgia,66,49,57,37,14,13,20,21,17,9
Ghana,7,D,10,4,5,8,6,8,6,5
Guatemala,187,158,206,248,471,539,378,349,298,285
Guinea,185,124,157,127,95,123,117,120,126,75
Guinea-Bissau,D,D,11,D,-,-,-,3,-,D
Haiti,1000,1167,1781,2282,2423,1060,729,596,666,822
Honduras,25,9,5,16,26,19,22,38,52,60
India,1059,274,142,70,51,75,103,146,102,104
Indonesia,472,206,100,97,429,567,383,177,71,84
Iran,695,325,203,146,139,170,328,257,398,367
Iraq,564,325,161,192,179,391,586,544,276,261
Israel,14,12,4,7,4,10,13,17,7,5
Jamaica,-,4,D,9,7,12,19,42,49,49
Jordan,57,24,19,28,17,25,23,19,7,13
Kazakhstan,25,19,24,10,15,23,18,26,33,54
Kenya,252,239,189,131,84,181,215,234,179,106
Kosovo,X,X,X,X,X,X,-,5,23,18
Kyrgyzstan,22,22,18,13,9,22,26,36,50,147
Laos,11,13,26,12,13,33,15,13,16,4
Latvia,11,15,14,8,4,5,D,3,-,3
Lebanon,38,37,30,25,11,50,44,37,21,19
Liberia,608,356,318,123,65,50,61,44,36,23
Libya,3,D,3,-,3,-,3,D,11,66
