"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21
01,61119,0130229,ALAMEDA,ALAMEDA CITY UNIFIED,ALAMEDA HIGH,389,16,4.1,21.8,9,2.3
01,61119,0132878,ALAMEDA,ALAMEDA CITY UNIFIED,ENCINAL HIGH,313,48,15.3,19.5,17,5.4
01,61119,0134304,ALAMEDA,ALAMEDA CITY UNIFIED,ISLAND HIGH  (CONT.),122,0,0,0.0,0,0
01,61127,0130450,ALAMEDA,ALBANY CITY UNIFIED,ALBANY HIGH,213,23,10.8,24.9,21,9.9
01,61143,0131177,ALAMEDA,BERKELEY UNIFIED,BERKELEY HIGH,793,122,15.4,22.7,81,10.2
01,61150,0132225,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY HIGH,467,32,6.9,22.8,20,4.3
01,61150,0135533,ALAMEDA,CASTRO VALLEY UNIFIED,REDWOOD ALTERNATIVE (CONT.),24,0,0,0.0,0,0
01,61168,0132746,ALAMEDA,EMERY UNIFIED,EMERY HIGH,34,2,5.9,NA,NA,NA
01,61176,0130062,ALAMEDA,FREMONT UNIFIED,AMERICAN HIGH,275,31,11.3,20.6,14,5.1
01,61176,0134270,ALAMEDA,FREMONT UNIFIED,IRVINGTON HIGH,231,42,18.2,21.1,24,10.4
01,61176,0134452,ALAMEDA,FREMONT UNIFIED,KENNEDY (JOHN F.) HIGH,259,26,10,22.2,18,6.9
01,61176,0135244,ALAMEDA,FREMONT UNIFIED,MISSION SAN JOSE HIGH,493,69,14,24.4,53,10.8
01,61176,0138693,ALAMEDA,FREMONT UNIFIED,WASHINGTON HIGH,287,44,15.3,21.3,24,8.4
01,61192,0133629,ALAMEDA,HAYWARD UNIFIED,HAYWARD HIGH,362,23,6.4,18.0,6,1.7
01,61192,0135319,ALAMEDA,HAYWARD UNIFIED,MT. EDEN HIGH,420,24,5.7,19.2,10,2.4
01,61192,0138339,ALAMEDA,HAYWARD UNIFIED,TENNYSON HIGH,307,32,10.4,18.0,9,2.9
01,61200,0133397,ALAMEDA,LIVERMORE VALLEY JOINT UNIFIED,GRANADA HIGH,358,11,3.1,27.7,11,3.1
01,61200,0134536,ALAMEDA,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE HIGH,400,20,5,22.8,15,3.7
01,61234,0130054,ALAMEDA,NEWARK UNIFIED,NEWARK MEMORIAL HIGH,453,23,5.1,22.6,15,3.3
01,61242,0130278,ALAMEDA,NEW HAVEN UNIFIED,EL RANCHO VERDE HIGH (CONT.),20,0,0,0.0,0,0
01,61242,0134668,ALAMEDA,NEW HAVEN UNIFIED,JAMES LOGAN HIGH,779,129,16.6,21.2,69,8.9
01,61259,0130146,ALAMEDA,OAKLAND UNIFIED,FAR WEST (CONT.),17,4,23.5,NA,NA,NA
01,61259,0130179,ALAMEDA,OAKLAND UNIFIED,STREET ACADEMY (ALTER),29,1,3.4,NA,NA,NA
01,61259,0130526,ALAMEDA,OAKLAND UNIFIED,MERRITT MIDDLE COLLEGE HIGH (A,18,0,0,0.0,0,0
01,61259,0132092,ALAMEDA,OAKLAND UNIFIED,CASTLEMONT SENIOR HIGH,167,20,12,16.0,3,1.8
01,61259,0132688,ALAMEDA,OAKLAND UNIFIED,DEWEY/BAYMART SENIOR HIGH (CON,36,0,0,0.0,0,0
01,61259,0133132,ALAMEDA,OAKLAND UNIFIED,FREMONT SENIOR HIGH,349,12,3.4,15.0,1,0.3
01,61259,0134791,ALAMEDA,OAKLAND UNIFIED,MCCLYMONDS SENIOR HIGH,75,18,24,14.2,1,1.3
01,61259,0135905,ALAMEDA,OAKLAND UNIFIED,OAKLAND SENIOR HIGH,398,77,19.3,17.3,18,4.5
01,61259,0136051,ALAMEDA,OAKLAND UNIFIED,OAKLAND TECHNICAL SENIOR HIGH,349,45,12.9,17.8,7,2
01,61259,0137943,ALAMEDA,OAKLAND UNIFIED,SKYLINE SENIOR HIGH,475,107,22.5,20.6,56,11.8
01,61275,0130286,ALAMEDA,PIEDMONT CITY UNIFIED,MILLENNIUM HIGH (CONT.),21,2,9.5,NA,NA,NA
01,61275,0136515,ALAMEDA,PIEDMONT CITY UNIFIED,PIEDMONT HIGH,178,40,22.5,23.7,32,18
01,61291,0137588,ALAMEDA,SAN LEANDRO UNIFIED,SAN LEANDRO HIGH,370,19,5.1,19.5,7,1.9
01,61309,0130849,ALAMEDA,SAN LORENZO UNIFIED,ARROYO HIGH,398,24,6,19.3,9,2.3
01,61309,0137810,ALAMEDA,SAN LORENZO UNIFIED,SAN LORENZO HIGH,304,20,6.6,19.5,6,2
01,75093,0132704,ALAMEDA,DUBLIN UNIFIED,DUBLIN HIGH,241,19,7.9,22.9,13,5.4
01,75101,0130096,ALAMEDA,PLEASANTON UNIFIED,FOOTHILL HIGH,321,69,21.5,24.4,57,17.8
01,75101,0130252,ALAMEDA,PLEASANTON UNIFIED,VILLAGE HIGH (CONT.),74,0,0,0.0,0,0
01,75101,0130583,ALAMEDA,PLEASANTON UNIFIED,AMADOR VALLEY HIGH,436,88,20.2,24.2,69,15.8
03,73981,0330753,AMADOR,AMADOR COUNTY UNIFIED,AMADOR COUNTY HIGH,194,69,35.6,22.2,43,22.2
03,73981,0334755,AMADOR,AMADOR COUNTY UNIFIED,ARGONAUT HIGH,142,21,14.8,22.0,15,10.6
04,10041,0430066,BUTTE,BUTTE CO. OFFICE OF EDUCATION,JUVENILE HALL/COMMUNITY,54,0,0,0.0,0,0
04,61408,0430827,BUTTE,BIGGS UNIFIED,BIGGS HIGH,49,1,2,NA,NA,NA
04,61424,0431676,BUTTE,CHICO UNIFIED,CHICO HIGH,462,23,5,21.6,14,3
04,61424,0437558,BUTTE,CHICO UNIFIED,PLEASANT VALLEY HIGH,518,95,18.3,22.9,61,11.8
04,61432,0433201,BUTTE,DURHAM UNIFIED,DURHAM HIGH,91,0,0,0.0,0,0
04,61515,0430116,BUTTE,OROVILLE UNION HIGH,CHALLENGE CHARTER HIGH,59,0,0,0.0,0,0
04,61515,0434803,BUTTE,OROVILLE UNION HIGH,LAS PLUMAS HIGH,298,23,7.7,18.9,8,2.7
04,61515,0435602,BUTTE,OROVILLE UNION HIGH,OROVILLE HIGH,221,10,4.5,NA,NA,NA
04,61531,0437350,BUTTE,PARADISE UNIFIED,PARADISE SENIOR HIGH,387,34,8.8,23.1,24,6.2
04,75507,0433953,BUTTE,GRIDLEY UNIFIED,GRIDLEY HIGH,124,25,20.2,19.7,10,8.1
05,61556,0532507,CALAVERAS,BRET HARTE UNION HIGH,BRET HARTE UNION HIGH,166,5,3,NA,NA,NA
05,61564,0531509,CALAVERAS,CALAVERAS UNIFIED,CALAVERAS HIGH,266,48,18,22.3,33,12.4
06,61598,0631259,COLUSA,COLUSA UNIFIED,COLUSA HIGH,111,14,12.6,18.3,4,3.6
06,61606,0634758,COLUSA,MAXWELL UNIFIED,MAXWELL HIGH,24,0,0,0.0,0,0
06,61614,0635250,COLUSA,PIERCE JOINT UNIFIED,PIERCE HIGH,69,2,2.9,NA,NA,NA
06,61622,0637504,COLUSA,WILLIAMS UNIFIED,WILLIAMS HIGH,53,0,0,0.0,0,0
07,61630,0730283,CONTRA COSTA,ACALANES UNION HIGH,ACALANES HIGH,335,60,17.9,25.1,53,15.8
07,61630,0731125,CONTRA COSTA,ACALANES UNION HIGH,CAMPOLINDO HIGH,234,56,23.9,24.9,45,19.2
07,61630,0732404,CONTRA COSTA,ACALANES UNION HIGH,DEL ORO HIGH (CONT),57,0,0,0.0,0,0
07,61630,0733725,CONTRA COSTA,ACALANES UNION HIGH,LAS LOMAS HIGH,321,56,17.4,25.7,48,15
07,61630,0734244,CONTRA COSTA,ACALANES UNION HIGH,MIRAMONTE HIGH,280,56,20,24.8,49,17.5
07,61648,0730465,CONTRA COSTA,ANTIOCH UNIFIED,DEER VALLEY HIGH,648,54,8.3,21.9,33,5.1
07,61648,0730861,CONTRA COSTA,ANTIOCH UNIFIED,ANTIOCH HIGH,352,52,14.8,23.0,33,9.4
07,61697,0737023,CONTRA COSTA,JOHN SWETT UNIFIED,SWETT (JOHN) HIGH,139,7,5,NA,NA,NA
07,61721,0730457,CONTRA COSTA,LIBERTY UNION HIGH,FREEDOM HIGH,188,51,27.1,21.1,25,13.3
07,61721,0733980,CONTRA COSTA,LIBERTY UNION HIGH,LIBERTY HIGH,292,65,22.3,22.2,38,13
07,61739,0730549,CONTRA COSTA,MARTINEZ UNIFIED,ALHAMBRA SENIOR HIGH,264,44,16.7,22.5,31,11.7
07,61754,0730044,CONTRA COSTA,MT. DIABLO UNIFIED,NORTHGATE HIGH,271,68,25.1,24.8,55,20.3
07,61754,0730317,CONTRA COSTA,MT. DIABLO UNIFIED,HORIZONS ALTERNATIVE,66,0,0,0.0,0,0
07,61754,0731380,CONTRA COSTA,MT. DIABLO UNIFIED,CLAYTON VALLEY HIGH,416,72,17.3,23.4,58,13.9
07,61754,0731646,CONTRA COSTA,MT. DIABLO UNIFIED,COLLEGE PARK HIGH,364,40,11,23.9,30,8.2
07,61754,0731836,CONTRA COSTA,MT. DIABLO UNIFIED,CONCORD HIGH,315,22,7,20.7,12,3.8
07,61754,0734566,CONTRA COSTA,MT. DIABLO UNIFIED,MT. DIABLO HIGH,202,11,5.4,19.3,2,1
07,61754,0734764,CONTRA COSTA,MT. DIABLO UNIFIED,OLYMPIC CONTINUATION HIGH,231,1,0.4,NA,NA,NA
07,61754,0737809,CONTRA COSTA,MT. DIABLO UNIFIED,YGNACIO VALLEY HIGH,320,58,18.1,22.6,40,12.5
07,61788,0735407,CONTRA COSTA,PITTSBURG UNIFIED,PITTSBURG SENIOR HIGH,414,20,4.8,20.5,8,1.9
07,61796,0730291,CONTRA COSTA,WEST CONTRA COSTA UNIFIED,MIDDLE COLLEGE HIGH,51,3,5.9,NA,NA,NA
