"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,,,
01,10017,0130401,Alameda,Alameda Co. Office of Education,Juvenile Hall/Court,171,0,0,    0,       0,     0.0,,,
01,10017,0130419,Alameda,Alameda Co. Office of Education,County Community,1,0,0,    0,       0,     0.0,,,
01,10017,0130427,Alameda,Alameda Co. Office of Education,Alternative/Opportunity,67,0,0,    0,       0,     0.0,,,
01,10017,6106751,Alameda,Alameda Co. Office of Education,Special Education,22,0,0,    0,       0,     0.0,,,
01,31617,0131763,Alameda,Calif. School for the Deaf,Calif School for the Deaf,67,9,13.4,NA,NA,NA,,,
01,61119,0130229,Alameda,Alameda City Unified,Alameda High,389,28,7.2,    21.6,      18,     4.6,,,
01,61119,0130609,Alameda,Alameda City Unified,Andersen Community Learning Center,21,7,33.3,NA,NA,NA,,,
01,61119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,14,1,7.1,NA,NA,NA,,,
01,61119,0132878,Alameda,Alameda City Unified,Encinal High,242,59,24.4,    19.7,      24,     9.9,,,
01,61119,0134304,Alameda,Alameda City Unified,Island High  (Cont.),134,0,0,    0,       0,     0.0,,,
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Cont.),14,0,0,    0,       0,     0.0,,,
01,61127,0130450,Alameda,Albany City Unified,Albany High,211,35,16.6,    26.4,      30,    14.2,,,
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,766,139,18.1,    23.2,      91,    11.9,,,
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,554,52,9.4,    24.4,      43,     7.8,,,
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Alternative (Cont.),24,0,0,    0,       0,     0.0,,,
01,61168,0132746,Alameda,Emery Unified,Emery High,66,1,1.5,NA,NA,NA,,,
01,61176,0130062,Alameda,Fremont Unified,American High,299,30,10,    23.3,      20,     6.7,,,
01,61176,0130138,Alameda,Fremont Unified,Robertson High (Cont.),47,0,0,    0,       0,     0.0,,,
01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,35,0,0,    0,       0,     0.0,,,
01,61176,0130534,Alameda,Fremont Unified,The Circle of Independent Learning,9,0,0,    0,       0,     0.0,,,
01,61176,0134270,Alameda,Fremont Unified,Irvington High,320,32,10,    23.8,      29,     9.1,,,
01,61176,0134452,Alameda,Fremont Unified,Kennedy (John F.) High,262,11,4.2,    19.3,       4,     1.5,,,
01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,521,69,13.2,    26.4,      65,    12.5,,,
01,61176,0138693,Alameda,Fremont Unified,Washington High,363,35,9.6,    23.2,      25,     6.9,,,
01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High (Cont.),101,0,0,    0,       0,     0.0,,,
01,61192,0133629,Alameda,Hayward Unified,Hayward High,434,45,10.4,    20.2,      21,     4.8,,,
01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,565,37,6.5,    20.0,      18,     3.2,,,
01,61192,0138339,Alameda,Hayward Unified,Tennyson High,463,23,5,    16.4,       3,     0.6,,,
01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,32,0,0,    0,       0,     0.0,,,
01,61200,0130492,Alameda,Livermore Valley Joint Unified,Phoenix High (Cont.),23,0,0,    0,       0,     0.0,,,
01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,43,0,0,    0,       0,     0.0,,,
01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,384,23,6,    25.0,      19,     4.9,,,
01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,431,25,5.8,    24.4,      19,     4.4,,,
01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,478,19,4,    20.3,       8,     1.7,,,
01,61234,0130484,Alameda,Newark Unified,Crossroads High,42,0,0,    0,       0,     0.0,,,
01,61234,0130682,Alameda,Newark Unified,Progressive Academy,1,0,0,    0,       0,     0.0,,,
01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Cont.),25,0,0,    0,       0,     0.0,,,
01,61242,0134668,Alameda,New Haven Unified,James Logan High,689,137,19.9,    21.9,      82,    11.9,,,
01,61259,0130146,Alameda,Oakland Unified,Far West (Cont.),18,8,44.4,NA,NA,NA,,,
01,61259,0130179,Alameda,Oakland Unified,Street Academy (Alter),14,2,14.3,NA,NA,NA,,,
01,61259,0130526,Alameda,Oakland Unified,Merritt Middle College High (Alternative),26,0,0,    0,       0,     0.0,,,
