"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,
01,61119,0130229,Alameda,Alameda City Unified,Alameda High,416,36,8.7,    21.0,      20,     4.8,
01,61119,0130609,Alameda,Alameda City Unified,Arthur Anderson Community Learning Center,20,6,30,NA,NA,NA,
01,61119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,16,0,0,NA,NA,NA,
01,61119,0132878,Alameda,Alameda City Unified,Encinal High,259,33,12.7,    20.3,      15,     5.8,
01,61119,0134304,Alameda,Alameda City Unified,Island High  (Continuation),127,0,0,NA,NA,NA,
01,10017,0130427,Alameda,Alameda County Office of Education,Alameda County Alternative/Opportunity,26,0,0,NA,NA,NA,
01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,31,0,0,NA,NA,NA,
01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,147,0,0,NA,NA,NA,
01,61127,0130450,Alameda,Albany City Unified,Albany High,233,46,19.7,    24.6,      36,    15.5,
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),16,0,0,NA,NA,NA,
01,61143,0134924,Alameda,Berkeley Unified,Berkeley Alternative High,45,1,2.2,NA,NA,NA,
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,745,147,19.7,    22.6,      90,    12.1,
01,31617,0131763,Alameda,California School for the Deaf-Northern (State Spe,California School for the Deaf-Northern,50,11,22,    14.5,       0,     0.0,
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,573,71,12.4,    22.3,      47,     8.2,
01,61150,0102194,Alameda,Castro Valley Unified,Redwood Alternative High,24,0,0,NA,NA,NA,
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,4,0,0,NA,NA,NA,
01,75093,0132704,Alameda,Dublin Unified,Dublin High,295,47,15.9,    22.6,      31,    10.5,
01,75093,0138453,Alameda,Dublin Unified,Valley High,39,0,0,NA,NA,NA,
01,61168,0132746,Alameda,Emery Unified,Emery Secondary,46,11,23.9,    14.9,       0,     0.0,
01,61176,0130062,Alameda,Fremont Unified,American High,371,35,9.4,    23.5,      24,     6.5,
01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,15,0,0,NA,NA,NA,
01,61176,0134270,Alameda,Fremont Unified,Irvington High,369,32,8.7,    23.9,      24,     6.5,
