"County
Number","District
Number","School
Number",County Name,District Name,School Name,Enrollment,"Number
tested","Percent
tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000,,,,
01,61119,0130229,Alameda,Alameda City Unified,Alameda High,416,     302,    72.6,   505.2,NA,   555.4,NA,  1060.6,NA,NA,     194,    46.6,,,,
01,61119,0130609,Alameda,Alameda City Unified,Arthur Anderson Community Learning Center,20,      19,    95.0,   586.8,NA,   623.2,NA,  1210.0,NA,NA,      17,    85.0,,,,
01,61119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,16,      10,    62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61119,0132878,Alameda,Alameda City Unified,Encinal High,259,     110,    42.5,   450.8,NA,   483.3,NA,   934.1,NA,NA,      42,    16.2,,,,
01,61119,0134304,Alameda,Alameda City Unified,Island High  (Continuation),127,       2,     1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,10017,0130427,Alameda,Alameda County Office of Education,Alameda County Alternative/Opportunity,26,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,31,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,147,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61127,0130450,Alameda,Albany City Unified,Albany High,233,     190,    81.5,   565.9,NA,   616.2,NA,  1182.1,NA,NA,     153,    65.7,,,,
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),16,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61143,0134924,Alameda,Berkeley Unified,Berkeley Alternative High,45,       1,     2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,745,     465,    62.4,   567.3,NA,   578.1,NA,  1145.5,NA,NA,     345,    46.3,,,,
01,31617,0131763,Alameda,California School for the Deaf-Northern (State Spe,California School for the Deaf-Northern,50,       2,     4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,573,     354,    61.8,   512.8,NA,   558.6,NA,  1071.4,NA,NA,     231,    40.3,,,,
01,61150,0102194,Alameda,Castro Valley Unified,Redwood Alternative High,24,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,4,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,75093,0132704,Alameda,Dublin Unified,Dublin High,295,     164,    55.6,   505.5,NA,   559.0,NA,  1064.5,NA,NA,     107,    36.3,,,,
01,75093,0138453,Alameda,Dublin Unified,Valley High,39,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61168,0132746,Alameda,Emery Unified,Emery Secondary,46,      19,    41.3,   371.1,NA,   373.2,NA,   744.2,NA,NA,       2,     4.3,,,,
01,61176,0130062,Alameda,Fremont Unified,American High,371,     229,    61.7,   521.7,NA,   555.8,NA,  1077.5,NA,NA,     141,    38.0,,,,
01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,15,       2,    13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61176,0133108,Alameda,Fremont Unified,Fremont Adult,0,       1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61176,0134270,Alameda,Fremont Unified,Irvington High,369,     228,    61.8,   534.4,NA,   587.5,NA,  1121.9,NA,NA,     170,    46.1,,,,
01,61176,0134452,Alameda,Fremont Unified,Kennedy (John F.) High,302,     105,    34.8,   485.3,NA,   527.2,NA,  1012.6,NA,NA,      55,    18.2,,,,
01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,436,     414,    95.0,   612.1,NA,   663.5,NA,  1275.6,NA,NA,     384,    88.1,,,,
01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),66,       1,     1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,43,       2,     4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
01,61176,0138693,Alameda,Fremont Unified,Washington High,425,     238,    56.0,   527.9,NA,   570.1,NA,  1097.9,NA,NA,     168,    39.5,,,,
01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,95,       1,     1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
