"County
Number","District
Number","School
Number",County Name,District Name,School Name,Enrollment,"Number
tested","Percent
tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000
01,10017,0109835,Alameda,Alameda County Office of Educa,FAME Public Charter,56,11,19.64,NA,562,576,537,1675,8,72.73,NA,NA
01,10017,0112607,Alameda,Alameda County Office of Educa,Envision Academy for Arts & Technology,32,23,71.88,NA,428,410,417,1254,5,21.74,NA,NA
01,10017,0130401,Alameda,Alameda County Office of Educa,Alameda County Juvenile Hall/Court,96,,,NA,,,,,,,NA,NA
01,10017,0130419,Alameda,Alameda County Office of Educa,Alameda County Community,39,,,NA,,,,,,,NA,NA
01,10017,0130427,Alameda,Alameda County Office of Educa,Alameda County Opportunity,21,,,NA,,,,,,,NA,NA
01,31617,0131763,Alameda,California School for the Deaf,California School for the Deaf-Fremont,44,1,2.27,NA,,,,,,,NA,NA
01,61119,0106401,Alameda,Alameda City Unified,Alameda Science and Technology Institute,26,26,100.00,NA,561,570,552,1682,21,80.77,NA,NA
01,61119,0130229,Alameda,Alameda City Unified,Alameda High,436,278,63.76,NA,530,570,529,1629,175,62.95,NA,NA
01,61119,0130609,Alameda,Alameda City Unified,Alameda Community Learning Center,30,24,80.00,NA,601,553,575,1729,19,79.17,NA,NA
01,61119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,35,14,40.00,NA,404,361,374,1139,1,7.14,NA,NA
01,61119,0132878,Alameda,Alameda City Unified,Encinal High,252,107,42.46,NA,486,524,483,1493,52,48.60,NA,NA
01,61119,0134304,Alameda,Alameda City Unified,Island High (Continuation),145,,,NA,,,,,,,NA,NA
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),14,,,NA,,,,,,,NA,NA
01,61127,0130450,Alameda,Albany City Unified,Albany High,317,198,62.46,NA,572,611,569,1751,150,75.76,NA,NA
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,736,431,58.56,NA,565,566,553,1684,300,69.61,NA,NA
01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,59,12,20.34,NA,324,322,355,1001,0,0.00,NA,NA
01,61150,0102194,Alameda,Castro Valley Unified,Redwood Alternative High,50,,,NA,,,,,,,NA,NA
01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,13,,,NA,,,,,,,NA,NA
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,722,405,56.09,NA,529,572,525,1626,273,67.41,NA,NA
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,38,,,NA,,,,,,,NA,NA
01,61168,0132746,Alameda,Emery Unified,Emery Secondary,57,28,49.12,NA,439,463,438,1339,8,28.57,NA,NA
01,61176,0130062,Alameda,Fremont Unified,American High,494,241,48.79,NA,541,588,562,1691,180,74.69,NA,NA
01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),101,,,NA,,,,,,,NA,NA
01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,37,,,NA,,,,,,,NA,NA
01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,25,7,28.00,NA,,,,,,,NA,NA
