"County
Number","District
Number","School
Number",County Name,District Name,School Name,"Grade
12","Number
Tested","Percent
Tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000
01,10017,0109835,Alameda,Alameda County Office of Educa,FAME Public Charter,64,18,28.13,NA,530,529,526,1585,12,66.67,NA,NA
01,10017,0112607,Alameda,Alameda County Office of Educa,Envision Academy for Arts & Technology,38,35,92.11,NA,381,372,381,1134,2,5.71,NA,NA
01,10017,0118489,Alameda,Alameda County Office of Educa,Aspire California College Preparatory Ac,20,,.,NA,,,,,,,NA,NA
01,10017,0130401,Alameda,Alameda County Office of Educa,Alameda County Juvenile Hall/Court,131,,.,NA,,,,,,,NA,NA
01,10017,0130419,Alameda,Alameda County Office of Educa,Alameda County Community,25,,.,NA,,,,,,,NA,NA
01,10017,0130427,Alameda,Alameda County Office of Educa,Alameda County Opportunity,22,,.,NA,,,,,,,NA,NA
01,31617,0131763,Alameda,California School for the Deaf,California School for the Deaf-Fremont,49,1,2.04,NA,,,,,,,NA,NA
01,61119,0106401,Alameda,Alameda City Unified,Alameda Science and Technology Institute,29,23,79.31,NA,556,563,563,1682,17,73.91,NA,NA
01,61119,0130229,Alameda,Alameda City Unified,Alameda High,425,320,75.29,NA,525,556,530,1611,195,60.94,NA,NA
01,61119,0130609,Alameda,Alameda City Unified,Alameda Community Learning Center,27,24,88.89,NA,577,552,565,1694,18,75.00,NA,NA
01,61119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,34,17,50.00,NA,361,328,364,1052,0,0.00,NA,NA
01,61119,0132878,Alameda,Alameda City Unified,Encinal High,245,117,47.76,NA,482,521,486,1489,60,51.28,NA,NA
01,61119,0134304,Alameda,Alameda City Unified,Island High (Continuation),133,5,3.76,NA,,,,,,,NA,NA
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),30,,.,NA,,,,,,,NA,NA
01,61127,0130450,Alameda,Albany City Unified,Albany High,266,193,72.56,NA,585,606,592,1783,155,80.31,NA,NA
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,835,530,63.47,NA,569,563,559,1691,379,71.51,NA,NA
01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,72,2,2.78,NA,,,,,,,NA,NA
01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,16,,.,NA,,,,,,,NA,NA
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,693,418,60.32,NA,527,573,531,1631,273,65.31,NA,NA
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,55,,.,NA,,,,,,,NA,NA
01,61168,0132746,Alameda,Emery Unified,Emery Secondary,56,19,33.93,NA,374,438,401,1213,2,10.53,NA,NA
01,61176,0130062,Alameda,Fremont Unified,American High,524,308,58.78,NA,547,587,565,1699,226,73.38,NA,NA
01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),71,1,1.41,NA,,,,,,,NA,NA
01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,31,1,3.23,NA,,,,,,,NA,NA
01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,30,5,16.67,NA,,,,,,,NA,NA
