Industry Name,Industry Sector,SIC Code
Agricultural production-crops,Agriculture,1
Cash Grains,Agriculture,11
Wheat,Agriculture,111
Rice,Agriculture,112
Corn,Agriculture,115
Soybeans,Agriculture,116
"Cash Grains, Not Elsewhere Classified",Agriculture,119
"Field Crops, Except Cash Grains",Agriculture,13
Cotton,Agriculture,131
Tobacco,Agriculture,132
Sugarcane and Sugar Beets,Agriculture,133
Irish Potatoes,Agriculture,134
"Field Crops, Except Cash Grains, Not Elsewhere Classified",Agriculture,139
Vegetables,Agriculture,16
Vegetables and Melons,Agriculture,161
Fruits and Tree Nuts,Agriculture,17
Berry Crops,Agriculture,171
Grapes,Agriculture,172
Tree Nuts,Agriculture,173
Citrus Fruits,Agriculture,174
Deciduous Tree Fruits,Agriculture,175
"Fruits and Tree Nuts, Not Elsewhere Classified",Agriculture,179
Horticultural Specialties,Agriculture,18
Ornamental Floriculture and Nursery Products,Agriculture,181
Food Crops Grown Under Cover,Agriculture,182
"General Farms, Primarily Crop",Agriculture,19
Agricultural Production-Livestock and Animal Specialties,Agriculture,2
"Livestock, Except Dairy and Poultry",Agriculture,21
Beef Cattle Feedlots,Agriculture,211
"Beef Cattle, Except Feedlots",Agriculture,212
Hogs,Agriculture,213
Sheep and Goats,Agriculture,214
"General Livestock, Except Dairy and Poultry",Agriculture,219
Dairy Farms,Agriculture,24
Poultry and Eggs,Agriculture,25
"Broiler, Fryer, and Roaster Chickens",Agriculture,251
Chicken Eggs,Agriculture,252
Turkey and Turkey Eggs,Agriculture,253
Poultry Hatcheries,Agriculture,254
"Poultry and Eggs, Not Elsewhere Classified",Agriculture,259
Animal Specialties,Agriculture,27
Fur-Bearing Animals and Rabbits,Agriculture,271
Horses and Other Equines,Agriculture,272
Animal Aquaculture,Agriculture,273
"Animal Specialties, Not Elsewhere Classified",Agriculture,279
"General Farms, Primarily Livestock and Animal Specialties",Agriculture,29
Agricultural services,Agriculture,7
Soil preparation services,Agriculture,71
Crop services,Agriculture,72
"Crop planting, cultivating, and protecting",Agriculture,721
"Crop harvesting, primarily by machine",Agriculture,722
"Crop preparation services for market, except cotton ginning",Agriculture,723
Cotton ginning,Agriculture,724
Veterinary services,Agriculture,74
Veterinary services for Livestock,Agriculture,741
Veterinary services for Animal specialties,Agriculture,742
"Animal services, except veterinary",Agriculture,75
"Livestock services, except veterinary",Agriculture,751
"Animal specialty services, except veterinary",Agriculture,752
Farm labor and management services,Agriculture,76
Farm labor contractors,Agriculture,761
Farm management services,Agriculture,762
Landscape and horticultural services,Agriculture,78
Landscape and horticultural services unallocated,Agriculture,780
Landscape counseling and planning,Agriculture,781
Lawn and garden services,Agriculture,782
Ornamental shrub and tree services,Agriculture,783
Forestry,Agriculture,8
Timber tracts,Agriculture,81
Forest nurseries and gathering of forest products,Agriculture,83
Forestry services,Agriculture,85
"Fishing, hunting, and trapping",Agriculture,9
Commercial fishing,Agriculture,91
Finfish,Agriculture,912
Shellfish,Agriculture,913
Miscellaneous marine products,Agriculture,919
Fish hatcheries and preserves,Agriculture,92
"Hunting and trapping, and game propagation",Agriculture,97
Metal mining,Mining,10
Iron ores,Mining,101
Copper ores,Mining,102
Lead and zinc ores,Mining,103
Gold and silver ores,Mining,104
Gold ores,Mining,1041
Silver ores,Mining,1044
"Ferroalloy ores, except vanadium",Mining,106
Metal mining services,Mining,108
Miscellaneous metal ores,Mining,109
Uranium-radium-vanadium ores,Mining,1094
"Metal ores, nec",Mining,1099
Coal mining,Mining,12
Bituminous coal and lignite mining,Mining,122
Bituminous coal and lignite surface,Mining,1221
Bituminous coal underground,Mining,1222
Anthracite mining,Mining,123
Coal mining services,Mining,124
Oil and gas extraction,Mining,13
Crude petroleum and natural gas,Mining,131
Natural gas liquids,Mining,132
Oil and gas field services,Mining,138
Drilling oil and gas wells,Mining,1381
Oil and gas exploration services,Mining,1382
"Oil and gas field services, nec",Mining,1389
"Nonmetallic minerals, except fuels",Mining,14
Dimension stone,Mining,141
Crushed and broken stone,Mining,142
Crushed and broken limestone,Mining,1422
Crushed and broken granite,Mining,1423
"Crushed and broken stone, nec",Mining,1429
Sand and gravel,Mining,144
Construction sand and gravel,Mining,1442
Industrial sand,Mining,1446
"Clay, ceramic, & refractory minerals",Mining,145
Kaolin and ball clay,Mining,1455
"Clay and related minerals, nec",Mining,1459
Chemical and fertilizer minerals,Mining,147
